Tabela,Data,Kurs średni,Zmiana
211/A/NBP/2019,2019-10-30,3.8388,-0.54
210/A/NBP/2019,2019-10-29,3.8598,0.18
209/A/NBP/2019,2019-10-28,3.8529,0.2
208/A/NBP/2019,2019-10-25,3.8452,0.01
207/A/NBP/2019,2019-10-24,3.8448,-0.06
206/A/NBP/2019,2019-10-23,3.8473,0.17
205/A/NBP/2019,2019-10-22,3.8408,0.26
204/A/NBP/2019,2019-10-21,3.8307,-0.51
203/A/NBP/2019,2019-10-18,3.8503,-0.35
202/A/NBP/2019,2019-10-17,3.8638,-0.76
201/A/NBP/2019,2019-10-16,3.8934,-0.05
200/A/NBP/2019,2019-10-15,3.8952,-0.02
199/A/NBP/2019,2019-10-14,3.8958,-0.48
198/A/NBP/2019,2019-10-11,3.9145,-0.21
197/A/NBP/2019,2019-10-10,3.9226,-0.4
196/A/NBP/2019,2019-10-09,3.9382,-0.06
195/A/NBP/2019,2019-10-08,3.9405,-0.24
194/A/NBP/2019,2019-10-07,3.9498,0.07
193/A/NBP/2019,2019-10-04,3.9469,-0.46
192/A/NBP/2019,2019-10-03,3.9652,-1.25
191/A/NBP/2019,2019-10-02,4.0152,0.01
190/A/NBP/2019,2019-10-01,4.0147,0.37
189/A/NBP/2019,2019-09-30,4,-0.38
188/A/NBP/2019,2019-09-27,4.0154,0.15
187/A/NBP/2019,2019-09-26,4.0092,0.59
186/A/NBP/2019,2019-09-25,3.9856,0.05
185/A/NBP/2019,2019-09-24,3.9838,-0.36
184/A/NBP/2019,2019-09-23,3.9983,1.69
183/A/NBP/2019,2019-09-20,3.9319,0.13
182/A/NBP/2019,2019-09-19,3.9267,-0.14
181/A/NBP/2019,2019-09-18,3.9322,-0.23
180/A/NBP/2019,2019-09-17,3.9412,0.76
179/A/NBP/2019,2019-09-16,3.9116,-0.01
178/A/NBP/2019,2019-09-13,3.912,-0.61
177/A/NBP/2019,2019-09-12,3.9362,0.1
176/A/NBP/2019,2019-09-11,3.9324,0.13
175/A/NBP/2019,2019-09-10,3.9273,-0.09
174/A/NBP/2019,2019-09-09,3.931,-0.01
173/A/NBP/2019,2019-09-06,3.9315,-0.04
172/A/NBP/2019,2019-09-05,3.933,-0.21
171/A/NBP/2019,2019-09-04,3.9414,-1.17
170/A/NBP/2019,2019-09-03,3.9882,0.16
169/A/NBP/2019,2019-09-02,3.9819,0.26
168/A/NBP/2019,2019-08-30,3.9717,0.33
167/A/NBP/2019,2019-08-29,3.9586,0.1
166/A/NBP/2019,2019-08-28,3.9548,0.61
165/A/NBP/2019,2019-08-27,3.9309,-0.07
164/A/NBP/2019,2019-08-26,3.9335,-0.09
163/A/NBP/2019,2019-08-23,3.9371,0.09
162/A/NBP/2019,2019-08-22,3.9337,0.32
161/A/NBP/2019,2019-08-21,3.921,-0.5
160/A/NBP/2019,2019-08-20,3.9408,0.53
159/A/NBP/2019,2019-08-19,3.9199,-0.21
158/A/NBP/2019,2019-08-16,3.9281,1.01
157/A/NBP/2019,2019-08-14,3.889,0.45
156/A/NBP/2019,2019-08-13,3.8714,0.01
155/A/NBP/2019,2019-08-12,3.8711,0.25
154/A/NBP/2019,2019-08-09,3.8613,0.19
153/A/NBP/2019,2019-08-08,3.8538,-0.15
152/A/NBP/2019,2019-08-07,3.8597,0.3
151/A/NBP/2019,2019-08-06,3.8482,-0.66
150/A/NBP/2019,2019-08-05,3.8739,-0.23
149/A/NBP/2019,2019-08-02,3.8829,-0.08
148/A/NBP/2019,2019-08-01,3.886,0.92
147/A/NBP/2019,2019-07-31,3.8504,0.03
146/A/NBP/2019,2019-07-30,3.8493,0.1
145/A/NBP/2019,2019-07-29,3.8453,0.41
144/A/NBP/2019,2019-07-26,3.8296,0.25
143/A/NBP/2019,2019-07-25,3.8199,-0.08
142/A/NBP/2019,2019-07-24,3.8229,0.61
141/A/NBP/2019,2019-07-23,3.7997,0.34
140/A/NBP/2019,2019-07-22,3.7869,0.04
139/A/NBP/2019,2019-07-19,3.7855,-0.21
138/A/NBP/2019,2019-07-18,3.7933,-0.28
137/A/NBP/2019,2019-07-17,3.8038,0.45
136/A/NBP/2019,2019-07-16,3.7867,0.03
135/A/NBP/2019,2019-07-15,3.7856,-0.09
134/A/NBP/2019,2019-07-12,3.7889,0.08
133/A/NBP/2019,2019-07-11,3.7859,-0.54
132/A/NBP/2019,2019-07-10,3.8066,-0.02
131/A/NBP/2019,2019-07-09,3.8074,0.57
130/A/NBP/2019,2019-07-08,3.7857,0.45
129/A/NBP/2019,2019-07-05,3.7689,0.19
128/A/NBP/2019,2019-07-04,3.7618,0.06
127/A/NBP/2019,2019-07-03,3.7596,0.01
126/A/NBP/2019,2019-07-02,3.7593,0.44
125/A/NBP/2019,2019-07-01,3.743,0.25
124/A/NBP/2019,2019-06-28,3.7336,-0.24
123/A/NBP/2019,2019-06-27,3.7426,-0.3
122/A/NBP/2019,2019-06-26,3.754,0.44
121/A/NBP/2019,2019-06-25,3.7376,0.04
120/A/NBP/2019,2019-06-24,3.736,-0.91
119/A/NBP/2019,2019-06-21,3.7705,-1.05
118/A/NBP/2019,2019-06-19,3.8104,0.02
117/A/NBP/2019,2019-06-18,3.8097,0.28
116/A/NBP/2019,2019-06-17,3.7989,0.69
115/A/NBP/2019,2019-06-14,3.7727,-0.02
114/A/NBP/2019,2019-06-13,3.7736,0.28
113/A/NBP/2019,2019-06-12,3.763,-0.24
112/A/NBP/2019,2019-06-11,3.7722,-0.06
111/A/NBP/2019,2019-06-10,3.7745,-0.56
110/A/NBP/2019,2019-06-07,3.7958,-0.28
109/A/NBP/2019,2019-06-06,3.8065,0.36
108/A/NBP/2019,2019-06-05,3.7929,-0.29
107/A/NBP/2019,2019-06-04,3.8041,-0.66
106/A/NBP/2019,2019-06-03,3.8292,-0.54
105/A/NBP/2019,2019-05-31,3.8498,-0.13
104/A/NBP/2019,2019-05-30,3.8548,-0.02
103/A/NBP/2019,2019-05-29,3.8554,0.44
102/A/NBP/2019,2019-05-28,3.8386,0.03
101/A/NBP/2019,2019-05-27,3.8374,-0.16
100/A/NBP/2019,2019-05-24,3.8436,-0.67
99/A/NBP/2019,2019-05-23,3.8696,0.2
98/A/NBP/2019,2019-05-22,3.862,-0.01
97/A/NBP/2019,2019-05-21,3.8625,0.21
96/A/NBP/2019,2019-05-20,3.8543,-0.01
95/A/NBP/2019,2019-05-17,3.8545,0.75
94/A/NBP/2019,2019-05-16,3.8259,-0.51
93/A/NBP/2019,2019-05-15,3.8457,0.35
92/A/NBP/2019,2019-05-14,3.8323,0.01
91/A/NBP/2019,2019-05-13,3.8321,0.21
90/A/NBP/2019,2019-05-10,3.8242,-0.44
89/A/NBP/2019,2019-05-09,3.841,0.22
88/A/NBP/2019,2019-05-08,3.8325,0.12
87/A/NBP/2019,2019-05-07,3.8278,-0.09
86/A/NBP/2019,2019-05-06,3.8313,0.36
85/A/NBP/2019,2019-05-02,3.8177,-0.3
84/A/NBP/2019,2019-04-30,3.8291,-0.46
83/A/NBP/2019,2019-04-29,3.8468,-0.1
82/A/NBP/2019,2019-04-26,3.8508,-0.08
81/A/NBP/2019,2019-04-25,3.8537,0.81
80/A/NBP/2019,2019-04-24,3.8229,0.29
79/A/NBP/2019,2019-04-23,3.8118,0.18
78/A/NBP/2019,2019-04-19,3.8051,0.13
77/A/NBP/2019,2019-04-18,3.8002,0.59
76/A/NBP/2019,2019-04-17,3.7778,-0.06
75/A/NBP/2019,2019-04-16,3.7802,0.03
74/A/NBP/2019,2019-04-15,3.7789,-0.29
73/A/NBP/2019,2019-04-12,3.7899,-0.17
72/A/NBP/2019,2019-04-11,3.7964,-0.16
71/A/NBP/2019,2019-04-10,3.8023,0.05
70/A/NBP/2019,2019-04-09,3.8003,-0.48
69/A/NBP/2019,2019-04-08,3.8188,-0.07
68/A/NBP/2019,2019-04-05,3.8215,0
67/A/NBP/2019,2019-04-04,3.8215,0.06
66/A/NBP/2019,2019-04-03,3.8192,-0.55
65/A/NBP/2019,2019-04-02,3.8403,0.36
64/A/NBP/2019,2019-04-01,3.8267,-0.26
63/A/NBP/2019,2019-03-29,3.8365,0.43
62/A/NBP/2019,2019-03-28,3.8202,0.23
61/A/NBP/2019,2019-03-27,3.8113,0.38
60/A/NBP/2019,2019-03-26,3.7969,0.01
59/A/NBP/2019,2019-03-25,3.7966,0.05
58/A/NBP/2019,2019-03-22,3.7948,0.98
57/A/NBP/2019,2019-03-21,3.7581,-0.49
56/A/NBP/2019,2019-03-20,3.7767,-0.15
55/A/NBP/2019,2019-03-19,3.7823,-0.14
54/A/NBP/2019,2019-03-18,3.7876,-0.36
53/A/NBP/2019,2019-03-15,3.8014,-0.01
52/A/NBP/2019,2019-03-14,3.8018,-0.15
51/A/NBP/2019,2019-03-13,3.8077,-0.1
50/A/NBP/2019,2019-03-12,3.8116,-0.22
49/A/NBP/2019,2019-03-11,3.8199,-0.55
48/A/NBP/2019,2019-03-08,3.8409,0.98
47/A/NBP/2019,2019-03-07,3.8038,0
46/A/NBP/2019,2019-03-06,3.8038,0.16
45/A/NBP/2019,2019-03-05,3.7977,0.22
44/A/NBP/2019,2019-03-04,3.7893,-0.07
43/A/NBP/2019,2019-03-01,3.792,0.18
42/A/NBP/2019,2019-02-28,3.7853,-0.09
41/A/NBP/2019,2019-02-27,3.7886,-0.62
40/A/NBP/2019,2019-02-26,3.8124,-0.31
39/A/NBP/2019,2019-02-25,3.8241,0
38/A/NBP/2019,2019-02-22,3.8242,-0.01
37/A/NBP/2019,2019-02-21,3.8247,0.07
36/A/NBP/2019,2019-02-20,3.8221,-0.23
35/A/NBP/2019,2019-02-19,3.8311,0.07
34/A/NBP/2019,2019-02-18,3.8286,-0.1
33/A/NBP/2019,2019-02-15,3.8326,-0.49
32/A/NBP/2019,2019-02-14,3.8516,0.67
31/A/NBP/2019,2019-02-13,3.8261,-0.31
30/A/NBP/2019,2019-02-12,3.838,0.5
29/A/NBP/2019,2019-02-11,3.819,0.39
28/A/NBP/2019,2019-02-08,3.804,0.32
27/A/NBP/2019,2019-02-07,3.7919,0.56
26/A/NBP/2019,2019-02-06,3.7706,0.44
25/A/NBP/2019,2019-02-05,3.7542,0.36
24/A/NBP/2019,2019-02-04,3.7408,0.44
23/A/NBP/2019,2019-02-01,3.7243,-0.08
22/A/NBP/2019,2019-01-31,3.7271,-0.81
21/A/NBP/2019,2019-01-30,3.7577,0.04
20/A/NBP/2019,2019-01-29,3.7563,-0.08
19/A/NBP/2019,2019-01-28,3.7592,-0.79
18/A/NBP/2019,2019-01-25,3.7893,0.13
17/A/NBP/2019,2019-01-24,3.7844,0.26
16/A/NBP/2019,2019-01-23,3.7747,0.05
15/A/NBP/2019,2019-01-22,3.7727,-0.06
14/A/NBP/2019,2019-01-21,3.7751,0.15
13/A/NBP/2019,2019-01-18,3.7694,0.21
12/A/NBP/2019,2019-01-17,3.7615,-0.01
11/A/NBP/2019,2019-01-16,3.7619,0.21
10/A/NBP/2019,2019-01-15,3.7542,0.22
9/A/NBP/2019,2019-01-14,3.7458,0.45
8/A/NBP/2019,2019-01-11,3.7289,-0.19
7/A/NBP/2019,2019-01-10,3.736,-0.4
6/A/NBP/2019,2019-01-09,3.7509,-0.13
5/A/NBP/2019,2019-01-08,3.7559,-0.04
4/A/NBP/2019,2019-01-07,3.7575,-0.38
3/A/NBP/2019,2019-01-04,3.772,-0.28
2/A/NBP/2019,2019-01-03,3.7827,0.55
1/A/NBP/2019,2019-01-02,3.7619,0.06
252/A/NBP/2018,2018-12-31,3.7597,0.13
251/A/NBP/2018,2018-12-28,3.755,-0.18
250/A/NBP/2018,2018-12-27,3.7616,0.07
249/A/NBP/2018,2018-12-24,3.7588,0.16
248/A/NBP/2018,2018-12-21,3.7528,0.53
247/A/NBP/2018,2018-12-20,3.7331,-0.77
246/A/NBP/2018,2018-12-19,3.7619,-0.13
245/A/NBP/2018,2018-12-18,3.7668,-0.54
244/A/NBP/2018,2018-12-17,3.7871,-0.59
243/A/NBP/2018,2018-12-14,3.8095,0.94
242/A/NBP/2018,2018-12-13,3.7739,-0.51
241/A/NBP/2018,2018-12-12,3.7934,0.45
240/A/NBP/2018,2018-12-11,3.7763,0.43
239/A/NBP/2018,2018-12-10,3.76,-0.25
238/A/NBP/2018,2018-12-07,3.7694,-0.4
237/A/NBP/2018,2018-12-06,3.7844,0.03
236/A/NBP/2018,2018-12-05,3.7832,0.84
235/A/NBP/2018,2018-12-04,3.7516,-0.41
234/A/NBP/2018,2018-12-03,3.7672,-0.16
233/A/NBP/2018,2018-11-30,3.7731,0.01
232/A/NBP/2018,2018-11-29,3.7728,-1.01
231/A/NBP/2018,2018-11-28,3.8114,0.44
230/A/NBP/2018,2018-11-27,3.7948,0.66
229/A/NBP/2018,2018-11-26,3.7701,-0.21
228/A/NBP/2018,2018-11-23,3.7779,0.04
227/A/NBP/2018,2018-11-22,3.7764,-0.17
226/A/NBP/2018,2018-11-21,3.7829,-0.19
225/A/NBP/2018,2018-11-20,3.79,0.16
224/A/NBP/2018,2018-11-19,3.784,-0.1
223/A/NBP/2018,2018-11-16,3.7876,-0.52
222/A/NBP/2018,2018-11-15,3.8074,-0.1
221/A/NBP/2018,2018-11-14,3.8114,-0.4
220/A/NBP/2018,2018-11-13,3.8268,0.28
219/A/NBP/2018,2018-11-12,3.8163,0.86
218/A/NBP/2018,2018-11-09,3.7838,0.64
217/A/NBP/2018,2018-11-08,3.7599,0.54
216/A/NBP/2018,2018-11-07,3.7398,-1.07
215/A/NBP/2018,2018-11-06,3.7802,-0.28
214/A/NBP/2018,2018-11-05,3.7907,0.27
213/A/NBP/2018,2018-11-02,3.7804,-1.04
212/A/NBP/2018,2018-10-31,3.8203,0.37
211/A/NBP/2018,2018-10-30,3.8062,0.35
210/A/NBP/2018,2018-10-29,3.793,0.08
209/A/NBP/2018,2018-10-26,3.7899,0.27
208/A/NBP/2018,2018-10-25,3.7796,0.26
207/A/NBP/2018,2018-10-24,3.7698,0.57
206/A/NBP/2018,2018-10-23,3.7485,0.57
205/A/NBP/2018,2018-10-22,3.7273,-0.87
204/A/NBP/2018,2018-10-19,3.7601,0.8
203/A/NBP/2018,2018-10-18,3.7302,0.48
202/A/NBP/2018,2018-10-17,3.7123,0.23
201/A/NBP/2018,2018-10-16,3.7036,-0.15
200/A/NBP/2018,2018-10-15,3.7091,-0.11
199/A/NBP/2018,2018-10-12,3.713,-0.72
198/A/NBP/2018,2018-10-11,3.7399,-0.29
197/A/NBP/2018,2018-10-10,3.7507,-0.32
196/A/NBP/2018,2018-10-09,3.7629,0.15
195/A/NBP/2018,2018-10-08,3.7574,0.15
194/A/NBP/2018,2018-10-05,3.7518,0.02
193/A/NBP/2018,2018-10-04,3.7512,1.1
192/A/NBP/2018,2018-10-03,3.7103,-0.6
191/A/NBP/2018,2018-10-02,3.7326,1.25
190/A/NBP/2018,2018-10-01,3.6867,0.31
189/A/NBP/2018,2018-09-28,3.6754,0.54
188/A/NBP/2018,2018-09-27,3.6557,0.35
187/A/NBP/2018,2018-09-26,3.643,-0.22
186/A/NBP/2018,2018-09-25,3.6511,-0.3
185/A/NBP/2018,2018-09-24,3.662,0.6
184/A/NBP/2018,2018-09-21,3.6402,-0.82
183/A/NBP/2018,2018-09-20,3.6702,0.05
182/A/NBP/2018,2018-09-19,3.6685,-0.36
181/A/NBP/2018,2018-09-18,3.6817,-0.16
180/A/NBP/2018,2018-09-17,3.6876,0.16
179/A/NBP/2018,2018-09-14,3.6817,-0.84
178/A/NBP/2018,2018-09-13,3.713,-0.18
177/A/NBP/2018,2018-09-12,3.7198,0.3
176/A/NBP/2018,2018-09-11,3.7087,-0.53
175/A/NBP/2018,2018-09-10,3.7283,0.78
174/A/NBP/2018,2018-09-07,3.6995,-0.4
173/A/NBP/2018,2018-09-06,3.7143,-0.5
172/A/NBP/2018,2018-09-05,3.733,0.24
171/A/NBP/2018,2018-09-04,3.7241,0.68
170/A/NBP/2018,2018-09-03,3.6991,0.5
169/A/NBP/2018,2018-08-31,3.6808,0.23
168/A/NBP/2018,2018-08-30,3.6724,-0.06
167/A/NBP/2018,2018-08-29,3.6747,0.54
166/A/NBP/2018,2018-08-28,3.6548,-0.74
165/A/NBP/2018,2018-08-27,3.682,-0.52
164/A/NBP/2018,2018-08-24,3.7014,-0.15
163/A/NBP/2018,2018-08-23,3.7069,-0.09
162/A/NBP/2018,2018-08-22,3.7104,-0.73
161/A/NBP/2018,2018-08-21,3.7375,-0.85
160/A/NBP/2018,2018-08-20,3.7695,-0.24
159/A/NBP/2018,2018-08-17,3.7784,-0.23
158/A/NBP/2018,2018-08-16,3.7871,0.27
157/A/NBP/2018,2018-08-14,3.7768,-0.25
156/A/NBP/2018,2018-08-13,3.7862,1.02
155/A/NBP/2018,2018-08-10,3.7481,1.72
154/A/NBP/2018,2018-08-09,3.6846,0.17
153/A/NBP/2018,2018-08-08,3.6782,0.16
152/A/NBP/2018,2018-08-07,3.6722,-0.54
151/A/NBP/2018,2018-08-06,3.692,-0.02
150/A/NBP/2018,2018-08-03,3.6926,0.39
149/A/NBP/2018,2018-08-02,3.6783,0.49
148/A/NBP/2018,2018-08-01,3.6603,0.33
147/A/NBP/2018,2018-07-31,3.6481,-0.55
146/A/NBP/2018,2018-07-30,3.6684,-0.68
145/A/NBP/2018,2018-07-27,3.6937,0.79
144/A/NBP/2018,2018-07-26,3.6649,-0.39
143/A/NBP/2018,2018-07-25,3.6793,-0.61
142/A/NBP/2018,2018-07-24,3.702,0.17
141/A/NBP/2018,2018-07-23,3.6957,-0.57
140/A/NBP/2018,2018-07-20,3.717,0.02
139/A/NBP/2018,2018-07-19,3.7163,0.36
138/A/NBP/2018,2018-07-18,3.7031,1.13
137/A/NBP/2018,2018-07-17,3.6619,-0.57
136/A/NBP/2018,2018-07-16,3.6828,-1.12
135/A/NBP/2018,2018-07-13,3.7244,0.51
134/A/NBP/2018,2018-07-12,3.7055,0.15
133/A/NBP/2018,2018-07-11,3.7,0.07
132/A/NBP/2018,2018-07-10,3.6973,0.33
131/A/NBP/2018,2018-07-09,3.685,-1
130/A/NBP/2018,2018-07-06,3.7222,-0.7
129/A/NBP/2018,2018-07-05,3.7485,-0.73
128/A/NBP/2018,2018-07-04,3.7759,0.1
127/A/NBP/2018,2018-07-03,3.7723,0.05
126/A/NBP/2018,2018-07-02,3.7703,0.7
125/A/NBP/2018,2018-06-29,3.744,-0.7
124/A/NBP/2018,2018-06-28,3.7705,0.95
123/A/NBP/2018,2018-06-27,3.7351,0.54
122/A/NBP/2018,2018-06-26,3.7151,0.17
121/A/NBP/2018,2018-06-25,3.7087,0.3
120/A/NBP/2018,2018-06-22,3.6977,-1.68
119/A/NBP/2018,2018-06-21,3.7607,0.68
118/A/NBP/2018,2018-06-20,3.7352,0.1
117/A/NBP/2018,2018-06-19,3.7316,0.85
116/A/NBP/2018,2018-06-18,3.7003,0.22
115/A/NBP/2018,2018-06-15,3.6922,2.12
114/A/NBP/2018,2018-06-14,3.6155,-0.84
113/A/NBP/2018,2018-06-13,3.6461,0.52
112/A/NBP/2018,2018-06-12,3.6271,0.07
111/A/NBP/2018,2018-06-11,3.6247,-0.64
110/A/NBP/2018,2018-06-08,3.6479,1.16
109/A/NBP/2018,2018-06-07,3.6062,-1.12
108/A/NBP/2018,2018-06-06,3.647,-0.27
107/A/NBP/2018,2018-06-05,3.6569,-0.26
106/A/NBP/2018,2018-06-04,3.6665,-0.73
105/A/NBP/2018,2018-06-01,3.6934,-0.72
104/A/NBP/2018,2018-05-30,3.72,-0.27
103/A/NBP/2018,2018-05-29,3.7299,1.22
102/A/NBP/2018,2018-05-28,3.6849,0.44
101/A/NBP/2018,2018-05-25,3.6686,0.26
100/A/NBP/2018,2018-05-24,3.659,-0.28
99/A/NBP/2018,2018-05-23,3.6693,1.22
98/A/NBP/2018,2018-05-22,3.6252,-0.99
97/A/NBP/2018,2018-05-21,3.6615,0.63
96/A/NBP/2018,2018-05-18,3.6385,0.28
95/A/NBP/2018,2018-05-17,3.6283,0.12
94/A/NBP/2018,2018-05-16,3.6241,0.86
93/A/NBP/2018,2018-05-15,3.5931,1.05
92/A/NBP/2018,2018-05-14,3.5558,-0.42
91/A/NBP/2018,2018-05-11,3.5708,-0.18
90/A/NBP/2018,2018-05-10,3.5773,-0.88
89/A/NBP/2018,2018-05-09,3.609,0.57
88/A/NBP/2018,2018-05-08,3.5884,0.7
87/A/NBP/2018,2018-05-07,3.5634,-0.34
86/A/NBP/2018,2018-05-04,3.5754,0.54
85/A/NBP/2018,2018-05-02,3.5563,1.99
84/A/NBP/2018,2018-04-30,3.4868,-0.39
83/A/NBP/2018,2018-04-27,3.5003,0.51
82/A/NBP/2018,2018-04-26,3.4827,0.81
81/A/NBP/2018,2018-04-25,3.4548,0.43
80/A/NBP/2018,2018-04-24,3.4401,0.72
79/A/NBP/2018,2018-04-23,3.4156,0.81
78/A/NBP/2018,2018-04-20,3.3881,0.56
77/A/NBP/2018,2018-04-19,3.3693,-0.08
76/A/NBP/2018,2018-04-18,3.3721,0.44
75/A/NBP/2018,2018-04-17,3.3572,-0.28
74/A/NBP/2018,2018-04-16,3.3666,-0.58
73/A/NBP/2018,2018-04-13,3.3862,-0.18
72/A/NBP/2018,2018-04-12,3.3924,0.19
71/A/NBP/2018,2018-04-11,3.3859,-0.61
70/A/NBP/2018,2018-04-10,3.4068,-0.31
69/A/NBP/2018,2018-04-09,3.4174,-0.41
68/A/NBP/2018,2018-04-06,3.4315,0.04
67/A/NBP/2018,2018-04-05,3.4301,0.22
66/A/NBP/2018,2018-04-04,3.4224,0.14
65/A/NBP/2018,2018-04-03,3.4177,0.11
64/A/NBP/2018,2018-03-30,3.4139,-0.18
63/A/NBP/2018,2018-03-29,3.4201,0.72
62/A/NBP/2018,2018-03-28,3.3956,0.1
61/A/NBP/2018,2018-03-27,3.3921,-0.66
60/A/NBP/2018,2018-03-26,3.4145,-0.51
59/A/NBP/2018,2018-03-23,3.4319,0.16
58/A/NBP/2018,2018-03-22,3.4264,-0.81
57/A/NBP/2018,2018-03-21,3.4544,0.72
56/A/NBP/2018,2018-03-20,3.4296,-0.13
55/A/NBP/2018,2018-03-19,3.4341,0.37
54/A/NBP/2018,2018-03-16,3.4214,0.28
53/A/NBP/2018,2018-03-15,3.4117,0.18
52/A/NBP/2018,2018-03-14,3.4055,-0.26
51/A/NBP/2018,2018-03-13,3.4143,0.23
50/A/NBP/2018,2018-03-12,3.4066,-0.19
49/A/NBP/2018,2018-03-09,3.4132,0.58
48/A/NBP/2018,2018-03-08,3.3935,0.57
47/A/NBP/2018,2018-03-07,3.3744,-0.57
46/A/NBP/2018,2018-03-06,3.3936,-0.17
45/A/NBP/2018,2018-03-05,3.3995,-0.6
44/A/NBP/2018,2018-03-02,3.42,-0.45
43/A/NBP/2018,2018-03-01,3.4356,0.49
42/A/NBP/2018,2018-02-28,3.4188,1.1
41/A/NBP/2018,2018-02-27,3.3816,0.05
40/A/NBP/2018,2018-02-26,3.3799,-0.33
39/A/NBP/2018,2018-02-23,3.3911,-0.29
38/A/NBP/2018,2018-02-22,3.4009,0.93
37/A/NBP/2018,2018-02-21,3.3697,0.3
36/A/NBP/2018,2018-02-20,3.3597,0.56
35/A/NBP/2018,2018-02-19,3.3411,0.72
34/A/NBP/2018,2018-02-16,3.3173,-0.26
33/A/NBP/2018,2018-02-15,3.3259,-1.51
32/A/NBP/2018,2018-02-14,3.3769,-0.43
31/A/NBP/2018,2018-02-13,3.3916,-0.6
30/A/NBP/2018,2018-02-12,3.4122,-0.41
29/A/NBP/2018,2018-02-09,3.4263,0.42
28/A/NBP/2018,2018-02-08,3.4119,1.31
27/A/NBP/2018,2018-02-07,3.3677,0.53
26/A/NBP/2018,2018-02-06,3.3498,0.37
25/A/NBP/2018,2018-02-05,3.3375,0.14
24/A/NBP/2018,2018-02-02,3.3329,-0.05
23/A/NBP/2018,2018-02-01,3.3346,0.08
22/A/NBP/2018,2018-01-31,3.3318,-0.37
21/A/NBP/2018,2018-01-30,3.3442,0.2
20/A/NBP/2018,2018-01-29,3.3375,0.23
19/A/NBP/2018,2018-01-26,3.3299,-0.23
18/A/NBP/2018,2018-01-25,3.3376,-1.11
17/A/NBP/2018,2018-01-24,3.375,-0.98
16/A/NBP/2018,2018-01-23,3.4084,0.14
15/A/NBP/2018,2018-01-22,3.4036,0.12
14/A/NBP/2018,2018-01-19,3.3994,-0.33
13/A/NBP/2018,2018-01-18,3.4108,0
12/A/NBP/2018,2018-01-17,3.4109,-0.24
11/A/NBP/2018,2018-01-16,3.419,0.53
10/A/NBP/2018,2018-01-15,3.401,-1.04
9/A/NBP/2018,2018-01-12,3.4366,-1.67
8/A/NBP/2018,2018-01-11,3.495,-0.14
7/A/NBP/2018,2018-01-10,3.4999,0.02
6/A/NBP/2018,2018-01-09,3.4992,0.74
5/A/NBP/2018,2018-01-08,3.4735,0.72
4/A/NBP/2018,2018-01-05,3.4488,0.05
3/A/NBP/2018,2018-01-04,3.4472,-0.42
2/A/NBP/2018,2018-01-03,3.4616,0.2
1/A/NBP/2018,2018-01-02,3.4546,-0.77
251/A/NBP/2017,2017-12-29,3.4813,-0.66
250/A/NBP/2017,2017-12-28,3.5046,-0.59
249/A/NBP/2017,2017-12-27,3.5253,-0.4
248/A/NBP/2017,2017-12-22,3.5393,0.07
247/A/NBP/2017,2017-12-21,3.5369,-0.25
246/A/NBP/2017,2017-12-20,3.5459,-0.35
245/A/NBP/2017,2017-12-19,3.5583,-0.44
244/A/NBP/2017,2017-12-18,3.574,-0.13
243/A/NBP/2017,2017-12-15,3.5786,0.2
242/A/NBP/2017,2017-12-14,3.5716,-0.46
241/A/NBP/2017,2017-12-13,3.588,0.48
240/A/NBP/2017,2017-12-12,3.5708,0.21
239/A/NBP/2017,2017-12-11,3.5633,-0.49
238/A/NBP/2017,2017-12-08,3.5808,0.24
237/A/NBP/2017,2017-12-07,3.5722,0.19
236/A/NBP/2017,2017-12-06,3.5653,0.56
235/A/NBP/2017,2017-12-05,3.5454,-0.13
234/A/NBP/2017,2017-12-04,3.5499,0.42
233/A/NBP/2017,2017-12-01,3.5352,-0.54
232/A/NBP/2017,2017-11-30,3.5543,0.45
231/A/NBP/2017,2017-11-29,3.5385,0.01
230/A/NBP/2017,2017-11-28,3.5382,0.3
229/A/NBP/2017,2017-11-27,3.5276,-0.59
228/A/NBP/2017,2017-11-24,3.5486,-0.2
227/A/NBP/2017,2017-11-23,3.5557,-0.9
226/A/NBP/2017,2017-11-22,3.5881,-0.5
225/A/NBP/2017,2017-11-21,3.606,0.42
224/A/NBP/2017,2017-11-20,3.5909,-0.16
223/A/NBP/2017,2017-11-17,3.5965,0.02
222/A/NBP/2017,2017-11-16,3.5958,0.2
221/A/NBP/2017,2017-11-15,3.5886,-0.66
220/A/NBP/2017,2017-11-14,3.6126,-0.7
219/A/NBP/2017,2017-11-13,3.6382,0.3
218/A/NBP/2017,2017-11-10,3.6274,-0.53
217/A/NBP/2017,2017-11-09,3.6466,-0.35
216/A/NBP/2017,2017-11-08,3.6595,-0.16
215/A/NBP/2017,2017-11-07,3.6652,0.18
214/A/NBP/2017,2017-11-06,3.6585,0.49
213/A/NBP/2017,2017-11-03,3.6408,0.12
212/A/NBP/2017,2017-11-02,3.6366,-0.45
211/A/NBP/2017,2017-10-31,3.6529,0.27
210/A/NBP/2017,2017-10-30,3.643,-0.38
209/A/NBP/2017,2017-10-27,3.6568,1.75
208/A/NBP/2017,2017-10-26,3.5939,-0.19
207/A/NBP/2017,2017-10-25,3.6006,0.11
204/A/NBP/2017,2017-10-20,3.5966,0.2
203/A/NBP/2017,2017-10-19,3.5896,-0.31
202/A/NBP/2017,2017-10-18,3.6006,0.12
